bornIn,tmdbId,born,name,bio,died,poster,n.url
"""Villefranche-sur-Mer, France""","""87429""","""1943-10-27""","""Michel Ocelot""","""Michel Ocelot is a French writer, character designer, storyboard artist and director of animated films and television programs (formerly also animator, background artist, narrator and other roles in earlier works) and a former president of the International Animated Film Association...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/yxVlRbK8O9MfOd2RBOiBNCFkHKD.jpg""","""https://themoviedb.org/person/87429"""
null,"""228568""",null,"""Gough Lewis""",null,null,null,"""https://themoviedb.org/person/228568"""
"""Brooklyn, New York City, New York, USA""","""35796""","""1971-04-08""","""Craig Mazin""","""Craig Mazin is an American screenwriter and film director.  He is known for writing Identity Thief, The Hangover Part II, The Hangover Part III, and The Huntsman: Winter's War, as well as the five-part miniseries for HBO and Sky based on the Chernobyl disaster.  Mazin co-hosts the Scriptnotes podcast alongside fellow screenwriter John August...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/uEhna6qcMuyU5TP7irpTUZ2ZsZc.jpg""","""https://themoviedb.org/person/35796"""
"""Brooklyn, New York, United States""","""24294""","""1972-10-07""","""Ben Younger""","""Ben Younger (born October 7, 1972) is an American screenwriter and film director.   Description above from the Wikipedia article Ben Younger, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/24294"""
"""Adelaide, Australia""","""33438""","""1963-03-27""","""Pip Karmel""","""​From Wikipedia, the free encyclopedia

Philippa (\""Pip\"") Karmel (born 1963) is an Australian filmmaker.  As a film editor, she has worked exclusively with director Scott Hicks in a notable collaboration from 1988 through 2007; their work together includes the widely recognized film Shine (1996).  She has directed and written several films, including Me Myself I (2000), which was released internationally...""",null,null,"""https://themoviedb.org/person/33438"""
"""Paris, Ile-de-France, France""","""21647""","""1953-05-17""","""Gérard Krawczyk""","""​From Wikipedia, the free encyclopedia.     Gérard Krawczyk (17 May 1953) is a French film director.  He is of Polish descent (his grandparents were from Częstochowa).   Description above from the Wikipedia article Gérard Krawczyk  , licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/3As3jvza5WtPIbIbLl8hYQToNmV.jpg""","""https://themoviedb.org/person/21647"""
null,"""551883""",null,"""Andrew J. Kuehn""",null,null,null,"""https://themoviedb.org/person/551883"""
"""Sarasota, Florida, USA""","""26849""","""1962-11-30""","""Daniel Myrick""","""From Wikipedia, the free encyclopedia. 

Daniel Myrick (born November 30, 1962) is an American director most famous for co-directing and writing the 1999 film The Blair Witch Project with Eduardo Sánchez, for which they won the Independent Spirit John Cassavetes Award...""",null,null,"""https://themoviedb.org/person/26849"""
"""Ottawa, Ontario, Canada""","""157879""","""1958-07-31""","""Alison Maclean""","""From Wikipedia, the free encyclopedia. 

Alison Maclean is a Canadian film director of music videos, short films, television (episodes of Sex and the City, The Tudors, Homicide: Life On the Street), commercials and feature films.  Her works include the music video Torn (Natalie Imbruglia, 1998), the short film Kitchen Sink (1989) and the feature films Jesus' Son (1999) starring Billy Crudup and Crush (1992) starring Marcia Gay Harden...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/jfSCedkHdpM9HxmZvohQqYklutX.jpg""","""https://themoviedb.org/person/157879"""
null,"""84782""",null,"""Francine McDougall""","""From Wikipedia, the free encyclopedia

Francine McDougall is an Australian film director, producer, television director and photographer.  She is best known for directing the 2001 comedy film Sugar &amp; Spice, her major directorial debut.  She also directed the Disney Channel Original Movies Go Figure and Cow Belles. 

Description above from the Wikipedia article Francine McDougall, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/lPhr15uylGQ0PzV6kmONbSlKaTV.jpg""","""https://themoviedb.org/person/84782"""
null,"""65627""",null,"""Kris Isacsson""",null,null,null,"""https://themoviedb.org/person/65627"""
"""Vienna, Austria""","""15115""","""1961-12-25""","""Stefan Ruzowitzky""","""​From Wikipedia, the free encyclopedia

Stefan Ruzowitzky (born December 25, 1961) is an Academy Award-winning Austrian film director and screenwriter. 

Description above from the Wikipedia article Stefan Ruzowitzky, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/15115"""
"""Albacete, Spain""","""19842""","""1947-02-18""","""José Luis Cuerda""","""He became radio and television technician after abandoning his law studies.  In 1969 he joined Spanish Television, doing reports and documentaries for information services (for five years conducted more than 500 features and documentaries).  Between 1985 and 1987 he taught at the Faculty of Fine Arts from the University of Salamanca.  After several short films in 1982 directed his first feature 'Pares y Nones', which would bring within the scope of the directors who cultivate the \""Madrid comedy\""...""",null,null,"""https://themoviedb.org/person/19842"""
"""London, England, UK""","""21339""","""1969-01-01""","""Jez Butterworth""","""​From Wikipedia, the free encyclopedia.   

Jeremy “Jez” Butterworth is an English dramatist and film director.  Butterworth has had major success with his play Mojo that premiered at the Royal Court Theatre in 1995.  It won the Laurence Olivier, an Evening Standard and the George Devine awards.  Butterworth wrote and directed the film adaptation of Mojo, released in 1997.  This featured Harold Pinter...""",null,null,"""https://themoviedb.org/person/21339"""
"""Cardiff, Regno Unito""","""68281""","""1977-01-01""","""Justin Kerrigan""",null,null,null,"""https://themoviedb.org/person/68281"""
"""California, USA""","""60621""","""1955-01-21""","""Jeff Franklin""","""Jeffrey Alan \""Jeff\"" Franklin  is an American television producer, writer, and director.  He achieved most of his success in the 1980s and '90s, with family-oriented sitcoms like Full House, Hangin' with Mr.  Cooper and Malcolm & Eddie.  He has also been involved in other situation comedies, including Bosom Buddies, and Laverne & Shirley. 

Description above from the Wikipedia article Jeff Franklin, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/60621"""
"""Trenton, New Jersey, USA""","""57741""","""1970-09-17""","""Mark Osborne""","""Mark Randolph Osborne (September 17, 1970) is an American film director, writer, producer, animator and Guggenheim Fellow (2004). 

Description above from the Wikipedia article Mark Osborne (filmmaker), licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/6mIJet9Jhpwd2PuVlBzG4VqItAj.jpg""","""https://themoviedb.org/person/57741"""
null,"""1018069""",null,"""Christine Fugate""",null,null,null,"""https://themoviedb.org/person/1018069"""
"""USA""","""998589""",null,"""John Swanbeck""",null,null,null,"""https://themoviedb.org/person/998589"""
"""Brooklyn, New York, USA""","""17279""","""1964-06-14""","""E. Elias Merhige""","""From Wikipedia, the free encyclopedia. 

Edmund Elias Merhige, known as E.  Elias Merhige, (born June 14th, 1964) is an American film director born in Brooklyn. 

Merhige is best known to mainstream audiences for the 2000 film Shadow of the Vampire, and to underground audiences for the cult-classic 1991 film Begotten. 

As he says in his audio commentary to the Shadow of the Vampire DVD, Merhige views cinema as the only meaningful art form of the present era...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/9fRLMDZquUrLaWj3FpVFga3t5DF.jpg""","""https://themoviedb.org/person/17279"""
"""Toronto, Ontario, Canada""","""61921""","""1971-09-01""","""Courtney Solomon""","""Courtney Solomon is a Canadian film producer. 

Solomon produced and directed the 2000 film Dungeons & Dragons.  His latest film, An American Haunting, is based on the Bell Witch legend in Tennessee. 

He is the founder and present head of After Dark Films, a film production and distribution company specializing in horror films, and organizer of the annual horror film festival Horrorfest featuring 8 Films to Die For...""",null,null,"""https://themoviedb.org/person/61921"""
"""Kashmir, India""","""87121""",null,"""Vic Sarin""","""From Wikipedia, the free encyclopedia. 

Vic Sarin (born 1945) is an Indian-born Canadian/American film director, producer and screenwriter.  His work as a cinematographer includes Partition, Margaret's Museum, Whale Music, Nowhere to Hide, Norman's Awesome Experience, and Riel.  He also directed such projects as Partition, Left Behind, and Wind at My Back.  Sarin was born in Kashmir, India...""",null,null,"""https://themoviedb.org/person/87121"""
null,"""65428""",null,""" Michael Haigney""",null,null,null,"""https://themoviedb.org/person/65428"""
"""Masan, South Gyeongsang Province, South Korea""","""64883""","""1962-12-23""","""Je-kyu Kang""","""​From Wikipedia, the free encyclopedia

Kang Je-gyu (born December 23, 1962) is a South Korean film director.  He studied in Chungang University.  He firstly got his prize in Korea Youth Film festival and Korea Scenario Awards in 1991. 

Description above from the Wikipedia article Kang Je-gyu, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/z6vwJt3XAcQmkiuodC7hXD8ktv2.jpg""","""https://themoviedb.org/person/64883"""
"""USA""","""86382""","""1947-09-19""","""Henry Bromell""","""From Wikipedia, the free encyclopedia

Henry Bromell (born 1947) is an American author, screenwriter, and director. 

Bromell attended Eaglebrook School ('63) and the United World College of the Atlantic (64-66).  He graduated from Amherst College in 1970.  He won the Houghton Mifflin Literary Award for his first novel, The Slightest Distance.  His collection of short stories, I Know Your Heart, Marco Polo, was published by Knopf.  Bromell's work has appeared in two O.  Henry Award collections...""","""2013-03-18""",null,"""https://themoviedb.org/person/86382"""
"""Bressuire, Deux-Sèvres, Poitou-Charentes, France""","""6295""","""1948-07-13""","""Catherine Breillat""","""From Wikipedia, the free encyclopedia. 

Catherine Breillat (born 13 July 1948 in Bressuire, Deux-Sèvres) is a French filmmaker, novelist and Professor of Auteur Cinema at the European Graduate School...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/wIJr8XJc7QjTCydM810YCWEK2oD.jpg""","""https://themoviedb.org/person/6295"""
"""Launceston, UK""","""24248""","""1959-01-01""","""Nigel Cole""","""From Wikipedia, the free encyclopedia

Nigel Cole (born 1959) is a British film and television director. 

Cole began his career in the 1980s, directing current affairs shows and documentaries for Central Independent Television.  Into the 1990s, Cole co-wrote the play Sod with Arthur Smith, which he also directed and presented at the Pleasance during the 1993 Edinburgh Festival...""",null,null,"""https://themoviedb.org/person/24248"""
"""San Antonio, Texas, USA""","""41272""","""1940-03-05""","""Don Mischer""",null,null,null,"""https://themoviedb.org/person/41272"""
null,"""1219210""",null,"""Mark Piznarski""","""From Wikipedia, the free encyclopedia. 

Mark Piznarski is an American film and television director.  He has directed episodes from a number of television series, including, amongst others, Veronica Mars, Gossip Girl, 90210, NYPD Blue, Friday Night Lights, Everwood, Mary Sunshine, My So-Called Life, Relativity and To Love and Die.  He has also directed a number of films and TV movies including Soccer Moms, Here on Earth and Death Benefit...""",null,null,"""https://themoviedb.org/person/1219210"""
null,"""7324""",null,"""Pan Nalin""",null,null,null,"""https://themoviedb.org/person/7324"""
"""Bloomington, Minnesota, USA""","""12890""","""1968-10-09""","""Pete Docter""","""Peter Hans \""Pete\"" Docter is an American film director, animator, and screenwriter from Bloomington, Minnesota.  He is best known for directing the films Monsters, Inc.  and Up, and as a key figure and collaborator in Pixar Animation Studios.  The A.  V.  Club has called him \""almost universally successful\""...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/rrAW10FlcOjqMllSwNBrFjfUT4k.jpg""","""https://themoviedb.org/person/12890"""
"""New York, City, New York, USA""","""197""","""1957-03-15""",""" David Silverman""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/uny7r1KHtuNd5dxAYPwLEyt0chs.jpg""","""https://themoviedb.org/person/197"""
"""USA""","""71947""","""1969-06-10""","""Gina Prince-Bythewood""","""Gina Prince-Bythewood (born Gina Maria Prince on June 10, 1969) is an American film director and writer.  Her primary credits as a director include the films Disappearing Acts and Love &amp; Basketball, produced by Spike Lee and starring Omar Epps and Sanaa Lathan, which won her the Independent Spirit Award for Best First Screenplay. 

Bythewood attended UCLA's film school, where she also ran competitive track...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/6LpH5I6bx0skQyPYMrpjDpJAV5v.jpg""","""https://themoviedb.org/person/71947"""
null,"""56154""",null,"""Antony Hoffman""",null,null,null,"""https://themoviedb.org/person/56154"""
"""Liège, Belgium""","""45138""","""1954-03-10""",""" Luc Dardenne""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/69TrH0jMMTQPrSUgQP7WLdEpRSF.jpg""","""https://themoviedb.org/person/45138"""
null,"""1141406""",null,"""John Mathew Matthan""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/yDkAY6uQ4tMaJbb1Crc8z300i5b.jpg""","""https://themoviedb.org/person/1141406"""
"""Bhutan""","""115309""","""1961-06-18""","""Khyentse Norbu""","""From Wikipedia, the free encyclopedia. 

Dzongsar Jamyang Khyentse Rinpoche (born 1961), also known as Khyentse Norbu, is a Bhutanese lama, filmmaker, and writer.  His two major films are The Cup (1999) and Travellers and Magicians (2003).  He is the author of the book What Makes You Not a Buddhist (Shambhala, 2007).  He is also a prominent tulku associated with Dzongsar Monastery in Derge, Eastern Tibet...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/pBEPv2UJx2OW6eXyy5vlAfmNrfq.jpg""","""https://themoviedb.org/person/115309"""
null,"""161858""","""1961-03-17""","""David Raynr""",null,null,null,"""https://themoviedb.org/person/161858"""
null,"""99496""","""1964-06-30""","""Raymond De Felitta""","""​From Wikipedia, the free encyclopedia

Raymond De Felitta (born 30 June 1964) is an American independent filmmaker, writer and musician from New York City. 

Description above from the Wikipedia article Raymond De Felitta, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/99496"""
"""Princeton Junction, New Jersey,USA""","""9033""","""1968-01-01""","""Christopher McQuarrie""","""Christopher McQuarrie is an American screenwriter, producer and director.  His screenplays include The Usual Suspects, for which he won the 1996 Academy Award, The Way of the Gun and Valkyrie.  He is the creator of NBC television series Persons Unknown...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/xVbQBRpqzKkllUAvjJbgnAmTwaZ.jpg""","""https://themoviedb.org/person/9033"""
"""New York City, New York USA""","""30711""","""1962-10-16""","""Kenneth Lonergan""","""From Wikipedia, the free encyclopedia. 

Kenneth Lonergan (born October 16, 1962) is a playwright, screenwriter, and director born in the Bronx, New York City, New York.  He began writing in high school at the Walden School (a defunct private school in Manhattan with a strong drama program). 

His first play, The Rennings Children, was chosen for the Young Playwright's Festival in 1982 while he was still an undergraduate.  He would go on to graduate from the NYU Playwriting Program...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/TPd9TDpZRP8fpLjFEazQUuKWDk.jpg""","""https://themoviedb.org/person/30711"""
"""Netherlands""","""21981""","""1965-07-01""","""Harald Zwart""","""From Wikipedia, the free encyclopedia.   

Harald Zwart (born July 1, 1965) is a Norwegian film director. 

Although born in the Netherlands, Zwart was raised in Fredrikstad in Norway.  As early as age eight, he started making short films.  He attended the Dutch Film Academy in Amsterdam where he received great acclaim for his student film Gabriel's Surprise.  The film was later televised...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/1ncMe83Yo8SAj2o8z71eGQUPMBK.jpg""","""https://themoviedb.org/person/21981"""
null,"""66604""",null,"""Joe Charbanic""",null,null,null,"""https://themoviedb.org/person/66604"""
"""Uccle, Belgium""","""151166""","""1968-01-09""","""Frédéric Fonteyne""",null,null,null,"""https://themoviedb.org/person/151166"""
"""Raleigh, North Carolina, USA""","""59026""","""1964-07-03""","""Peyton Reed""","""Peyton Reed (born 3 July 1964) is an American television and film director. 

Reed was born in Raleigh, North Carolina and attended the University of North Carolina at Chapel Hill.  Reed directed the motion pictures Bring It On, Down with Love, and The Break-Up; all comedy films.  He has also acted in small roles in some films including his own and has written a few original songs for his soundtracks.  He has also produced a few music videos...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/aucXNycAtFREMIKr6ikmHvd2Mmp.jpg""","""https://themoviedb.org/person/59026"""
"""Oklahoma City, Oklahoma, USA""","""64151""","""1970-10-18""","""Mike Mitchell""","""​From Wikipedia, the free encyclopedia.   

Mike Mitchell (born c.  1970/71) is an American film director, producer, actor and former animator.  He is well known for directing the films Surviving Christmas, Sky High, Shrek Forever After for DreamWorks Animation, Popeye for Sony Pictures Animation...""",null,null,"""https://themoviedb.org/person/64151"""
"""Hilary Mary Allcroft Worthing, England""","""113733""",null,"""Britt Allcroft""","""From Wikipedia, the free encyclopedia. 

Britt Allcroft is the multi- award-winning creator of a trio of children's entertainment produced in the 1980s and 1990s: \""Thomas the Tank Engine and Friends\"", (now retitled \""Thomas and Friends\""), \""Shining Time Station\"" (with co-creator Rick Siggelkow) and \""Britt Allcroft's Magic Adventures of Mumfie\"". 

She was born Hilary Mary Allcroft, in Worthing, England and, at 16, changed her name to Britt as her career in British radio and TV gained momentum...""",null,null,"""https://themoviedb.org/person/113733"""
"""Paris, France""","""4387""","""1967-11-15""","""François Ozon""","""François Ozon (born 15 November 1967) is a French film director and screenwriter and whose films are usually characterized by sharp satirical wit and a freewheeling view on human sexuality. 

He has achieved international acclaim for his films 8 femmes (2002) and Swimming Pool (2003)...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/6ySxjLJKObkNJXyfMWLhr0pt0Ie.jpg""","""https://themoviedb.org/person/4387"""
"""New York City, New York, USA""","""240363""",null,""" Laurie Gwen Shapiro""","""​From Wikipedia, the free encyclopedia.   

Laurie Gwen Shapiro is an American writer and filmmaker.  She resides in New York City, where she was born and raised, and is a graduate of that city's renowned Stuyvesant High School...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/fPtAyy8Ir2RaTvMdmiNYNvxqadc.jpg""","""https://themoviedb.org/person/240363"""
null,"""585280""",null,"""Kristen Coury""",null,null,null,"""https://themoviedb.org/person/585280"""
null,"""76221""","""1959-05-03""","""Ben Elton""","""Already a successful comedian, Ben Elton turned to writing situation comedies during the 1980s and penned BBC classics such as \""The Young Ones\"" (1982), \""Black-Adder II\"" (1986), \""Black Adder the Third\"" (1987), \""Blackadder 4\"" (1989) and during the 1990s \""The Thin Blue Line\"" (1995). 

He provided lyrics for Andrew Lloyd Webber's musical, \""The Beautiful Game\"", which was nominated for Best Musical at the Laurence Olivier Theatre Awards in 2001 (2000 season)...""",null,null,"""https://themoviedb.org/person/76221"""
null,"""1455472""",null,"""Aviva Kempner""",null,null,null,"""https://themoviedb.org/person/1455472"""
"""Copenhagen, Denmark""","""65879""","""1967-05-09""","""Kristian Levring""","""From Wikipedia, the free encyclopedia

Kristian Levring is a Danish director born in 1957 in Denmark.  He was the fourth signatory of Dogme95.  He lived eight years in France.  He graduated in editing at the National Film School of Denmark and has edited a large number of documentaries and feature films besides directing two feature films, among these, Et skud fra hjertet (1986).  He is the recipient of some 23 Danish and international awards for his commercials...""",null,null,"""https://themoviedb.org/person/65879"""
"""Morristown, New Jersey, USA""","""6345""","""1948-03-31""",""" Edward Lachman""","""Edward Lachman, A. S. C.  is an American cinematographer and director.  Lachman is mostly associated with the American independent film movement, and has served as director of photography on films by Todd Haynes, Wim Wenders, Steven Soderbergh, Sofia Coppola and Paul Schrader...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/3kVVmrHn39L0yuNHTbd3slTiNaz.jpg""","""https://themoviedb.org/person/6345"""
"""Los Angeles, California, USA""","""20739""","""1964-11-27""","""Adam Shankman""","""Adam Michael Shankman (born November 27, 1964) is an American film director, producer, dancer, actor, and choreographer.  He has been a judge on the television program So You Think You Can Dance since Season 3.  He began his professional career in musical theater, and was a dancer in music videos for Paula Abdul and Janet Jackson.  Shankman also choreographed one of the Spice Girls' tours...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/zZmZgVp5OTU2eSMCDuOXGlQ4fBR.jpg""","""https://themoviedb.org/person/20739"""
"""India""","""56512""","""1961-05-06""","""Tarsem Singh""","""Tarsem Singh Dhandwar, known professionally as Tarsem, is an Indian-American director who has worked on films, music videos, and commercials. 

Tarsem was born in Jalandhar, Punjab to a Punjabi Sikh family.  His father was an aircraft engineer.  He is a graduate of the Art Center College of Design in Pasadena, California. 

Tarsem began his career directing music videos, including those of \""Hold On\"" by En Vogue, \""Sweet Lullaby\"" by Deep Forest and R. E. M...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/chigUx2ETaKoLOIv3AIVt5KH1nK.jpg""","""https://themoviedb.org/person/56512"""
"""Edmonton, Alberta, Canada""","""43""","""1968-03-05""","""John Fawcett""","""John Fawcett is a Canadian film and television director, producer and writer, best known for the movie \""Ginger Snaps\"" and as co-creator, executive producer and director of the television series \""Orphan Black\""...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/ArR5IXmo5yqjH4I6kcO9W5u9rDC.jpg""","""https://themoviedb.org/person/43"""
"""Brooklyn, New York, USA""","""54025""","""1968-03-21""","""Karyn Kusama""","""Karyn Kusama (born March 21, 1968) is an American film director and screenwriter. 

A graduate of New York University's film school, her début production Girlfight won both the Director's Award and the Grand Jury Prize (tied with Kenneth Lonergan's You Can Count on Me) at the 2000 Sundance Film Festival.  She has finished a live-action film version of Æon Flux, starring Charlize Theron.  Her newest film is Jennifer's Body which is written by Diablo Cody...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/d8jLYxsHkoPJiGXvps9SD7zVdAc.jpg""","""https://themoviedb.org/person/54025"""
null,"""147024""",null,"""Eric Valli""",null,null,null,"""https://themoviedb.org/person/147024"""
null,"""1707515""",null,""" Michel Debats""",null,null,null,"""https://themoviedb.org/person/1707515"""
null,"""74569""",null,"""Joby Harold""","""From Wikipedia, the free encyclopedia. 

Joby Harold is an English  film director and screenwriter currently living in Los Angeles.  He wrote and directed AWAKE for The Weinstein Company starring Hayden Christensen, Jessica Alba, Terrence Howard and Lena Olin.  The film was produced for under $8. 6M and grossed $32M worldwide in theatrical and $23. 45M on dvd...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/bHlPziMdGj2GZk88HTVoVqS4N94.jpg""","""https://themoviedb.org/person/74569"""
null,"""56789""","""1964-03-08""","""Thomas Bezucha""","""From Wikipedia, the free encyclopedia. 

Thomas Gordon Bezucha (born 8 March 1964) is an American screenwriter and director. 

He wrote and directed Big Eden (2000) and The Family Stone (2005).  He is a graduate of Amherst Regional High School in Amherst, Massachusetts.  He will next direct Monte Carlo, which he co-wrote with April Blair. 

Bezucha is openly gay. 

Description above from the Wikipedia article Thomas Bezucha, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/56789"""
""" Michigan, USA""","""17042""","""1969-05-04""","""Greg Harrison""","""​From Wikipedia, the free encyclopedia.   

Greg Harrison (born May 4, 1969 in Michigan) is an American film director and editor. 

He graduated from Michigan State University. 

He has directed films such as Groove (2000) and November (2004), both of which were produced by Danielle Renfrew. 

Description above from the Wikipedia article Greg Harrison,  licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/17042"""
null,"""80540""",null,"""Stig Bergqvist""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/HYKwT9uHh4SmpHHV6cCqyBwom4.jpg""","""https://themoviedb.org/person/80540"""
null,"""1233222""",null,""" Paul Demeyer""",null,null,null,"""https://themoviedb.org/person/1233222"""
null,"""31120""",null,"""Robert Adetuyi""","""From Wikipedia, the free encyclopedia

Robert Adetuyi (born Sudbury, Ontario) is a Canadian screenwriter and film director.  A graduate of York University, where he studied communications and sociology, he moved to Hollywood in 1992. 

His screenwriting credits include Stomp the Yard, Code Name: The Cleaner and Turn It Up.  He also directed Turn it Up...""",null,null,"""https://themoviedb.org/person/31120"""
"""Bühl, West Germany""","""18175""","""1962-05-07""","""Dominik Moll""","""From Wikipedia, the free encyclopedia

Dominik Moll (born 7 May 1962) is a German born French film director and screenwriter.  He wrote and directed Harry, un ami qui vous veut du bien and Lemming.  He was born in Bühl, West Germany. 

For his achievements on the film Harry, un ami qui vous veut du bien, he won the 2001 César Award for Best Director.  Both Lemming and Harry, un ami qui vous veut du bien were nominated for the Palme d'Or at the Cannes Film Festival...""",null,null,"""https://themoviedb.org/person/18175"""
null,"""91987""",null,"""Gary Burns""",null,null,null,"""https://themoviedb.org/person/91987"""
null,"""71943""","""1965-07-07""","""Reggie Rock Bythewood""",null,null,null,"""https://themoviedb.org/person/71943"""
null,"""27226""",null,"""Patrick Lussier""","""From Wikipedia, the free encyclopedia. 

Patrick Lussier (born 1964) is a Canadian horror and thriller genre writer, editor and director. 

Description above from the Wikipedia article Patrick Lussier, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/iDVSGsOz8PewY4SCAEDCDaobi4.jpg""","""https://themoviedb.org/person/27226"""
"""Hawaii, USA""","""93301""","""1969-05-07""","""Jun Falkenstein""","""From Wikipedia, the free encyclopedia. 

Jun Falkenstein (born May 7, 1969) is an animation director, writer, and story artist.  She is best known for directing the Disney theatrical feature The Tigger Movie. 

Description above from the Wikipedia article Jun Falkenstein, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/93301"""
"""England, United Kingdom""","""227412""","""1969-11-24""","""Kieron J. Walsh""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/lb2S1ZiRyH8GNzaLjLaib5ynalF.jpg""","""https://themoviedb.org/person/227412"""
"""Tenerife, Canary Islands, Spain""","""17597""","""1967-12-05""","""Juan Carlos Fresnadillo""","""From Wikipedia, the free encyclopedia.   Juan Carlos Fresnadillo (born 5 December 1967) is a Spanish film director, script writer, and producer.  He directed Intacto and 28 Weeks Later, the sequel to Danny Boyle's 28 Days Later.  His film Esposados was nominated for the Academy Award for Best Live Action Short Film in 1996. 

Description above from the Wikipedia article Juan Carlos Fresnadillo, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/17597"""
"""Trois-Rivières, Québec, Canada""","""137427""","""1967-10-03""","""Denis Villeneuve""","""Denis Villeneuve (born October 3, 1967 in Gentilly, Quebec) is a Canadian film director and writer.  In his early career he won Radio-Canada's youth film competition \""La Course Europe-Asie\"" in 1990-91.  He is a three-time winner of the Genie Award for Best Director, for Maelström in 2001, Polytechnique in 2010 and Incendies in 2011.  All three films also won the Best Picture award...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg""","""https://themoviedb.org/person/137427"""
"""Venice, California, USA""","""110962""","""1952-03-12""","""Steven Okazaki""","""Steven Toll Okazaki (born March 12, 1952, in Venice, California) is an American filmmaker.  He is Sansei Japanese American (3rd generation) and is based in the San Francisco Bay Area.  He has received a Peabody Award and been nominated for four Academy Awards, winning an Oscar for the documentary short subject, Days of Waiting: The Life & Art of Estelle Ishigo (1990)...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/mMwfAicGthVZMS8i7qeeF4DjSMS.jpg""","""https://themoviedb.org/person/110962"""
"""Wellington, New Zealand""","""37618""","""1967-10-07""","""Andrew Dominik""","""Andrew Dominik is a New Zealand-born Australian film director and screenwriter.  He has directed the crime film Chopper, the Western drama film The Assassination of Jesse James by the Coward Robert Ford and the neo-noir crime film Killing Them Softly...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/eOksZ6BSZboCfh3PAaw2TXsEjPL.jpg""","""https://themoviedb.org/person/37618"""
"""USA""","""12632""",null,"""Daniel Sackheim""","""From Wikipedia, the free encyclopedia. 

Daniel Sackheim is an American TV and film director.  He has directed several episodes of the TV show The X-Files, 3 episodes of Harsh Realm, House, and Life, the last two of which he also served on as an executive producer...""",null,null,"""https://themoviedb.org/person/12632"""
null,"""67564""",null,"""Éva Gárdos""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/5GucE4mNHplQbc7eZxGtiwjQ4tb.jpg""","""https://themoviedb.org/person/67564"""
"""Rye, New York""","""88967""","""1972-05-24""","""Greg Berlanti""","""Greg Berlanti (born May 24, 1972) is an American television writer and producer...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/1T24SiIIDMa9gAmq7QaYwZywq4y.jpg""","""https://themoviedb.org/person/88967"""
